%Wavelength (nm)	HBO2	HB	Water (mm-1)	Lipid (mm^-1)
872	0.255866	0.182	0.004873086	0.001029145
874	0.257351	0.182	0.004954669	0.001140716
876	0.258799	0.183	0.005064666	0.001270674
878	0.260208	0.183	0.005161031	0.001434898
880	0.261574	0.184207	0.0052787	0.001638352
882	0.262895	0.185	0.005396915	0.001865824
884	0.264171	0.186	0.005498754	0.002114978
886	0.265394	0.187	0.005627422	0.002401048
888	0.266563	0.189	0.005739265	0.002734762
890	0.267676	0.19	0.005849904	0.00309022
892	0.268725	0.191	0.005960036	0.003460919
894	0.269713	0.192	0.006069729	0.003803112
896	0.27063	0.193	0.006178845	0.004090728
898	0.271475	0.194	0.006287106	0.004352294
900	0.272246	0.195	0.006400894	0.004594599
902	0.272937	0.196	0.006526352	0.004863266
904	0.273547	0.19618	0.00665827	0.005322274
906	0.274072	0.196	0.006784521	0.005790226
908	0.274512	0.196	0.00694456	0.006392994
910	0.274866	0.196	0.007120957	0.00712746
912	0.275136	0.196	0.007313012	0.00791253
914	0.275322	0.195	0.007548312	0.008680613
916	0.275428	0.194	0.007826682	0.009396154
918	0.275449	0.193	0.008193495	0.010035718
920	0.275389	0.191575	0.008608502	0.010681622
922	0.275249	0.19	0.009118045	0.011352439
924	0.27503	0.189	0.009749191	0.012009198
926	0.274735	0.187	0.010462469	0.012601095
928	0.274367	0.185	0.011309165	0.012992547
930	0.273929	0.183	0.012232193	0.013105301
932	0.273423	0.18	0.013303953	0.012857667
934	0.272854	0.178	0.014358692	0.012239184
936	0.272221	0.175	0.015386419	0.011349946
938	0.27153	0.172	0.016801658	0.010209701
940	0.270784	0.168549	0.018343774	0.008897139
942	0.269983	0.165	0.019921195	0.007597505
944	0.269131	0.161	0.021626524	0.006397384
946	0.268228	0.157	0.023651911	0.00536298
948	0.267277	0.153	0.025909354	0.004555623
950	0.26628	0.149	0.028813561	0.003709019
952	0.265237	0.144	0.032011063	0.00320293
954	0.264153	0.14	0.035831366	0.002802697
956	0.263024	0.135	0.03930277	0.002464071
958	0.261857	0.13	0.041969951	0.002217731
960	0.260653	0.125261	0.044154838	0.002030875
962	0.259412	0.12	0.045652678	0.00190947
964	0.258136	0.116	0.04653522	0.001802141
966	0.256826	0.111	0.047236858	0.001688396
968	0.255486	0.106	0.047721797	0.001587404
970	0.254116	0.101	0.04800052	0.001527842
972	0.252718	0.0964	0.048327837	0.001491119
974	0.251293	0.0919	0.048562146	0.001432045
976	0.249844	0.0874	0.048638289	0.001408777
978	0.248373	0.0831	0.048594532	0.001421464
980	0.246881	0.079	0.048274408	0.001418537
982	0.24537	0.0751	0.047903109	0.001404689
984	0.243841	0.0714	0.047446362	0.001436299
986	0.242296	0.068	0.04683571	0.001518225
988	0.240738	0.0648	0.046074306	0.001598457
990	0.239165	0.0619	0.045353906	0.001699518
992	0.237583	0.0593	0.044376772	0.001866848
994	0.235992	0.057	0.043615673	0.002062576
996	0.234392	0.0551	0.042644912	0.002244901
998	0.232789	0.0536	0.041678043	0.002434429
1000	0.23118	0.0525	0.040715041	0.002683996
1002	0	0	0.0396305	0.002902666
1004	0	0	0.0386754	0.003174419
1006	0	0	0.0375992	0.003464585
1008	0	0	0.0364026	0.003770746
1010	0	0	0.0352107	0.004090836
1012	0	0	0.0340236	0.004415322
1014	0	0	0.032965	0.004746296
1016	0	0	0.0319107	0.005040972
1018	0	0	0.0308604	0.005290936
1020	0	0	0.0295679	0.005488211
1022	0	0	0.0284034	0.005634271
1024	0	0	0.0272435	0.005735761
1026	0	0	0.0262106	0.005858367
1028	0	0	0.0250594	0.006048943
1030	0	0	0.0239127	0.006270113
1032	0	0	0.0232987	0.006496753
1034	0	0	0.02248385	0.006710807
1036	0	0	0.02153065	0.006865222
1038	0	0	0.0206417	0.006965371
1040	0	0	0.01981655	0.007029641
1042	0	0	0.01905495	0.007004988
1044	0	0	0.018416767	0.006914346
1046	0	0	0.0179005	0.006806838
1048	0	0	0.0171469	0.006678052
1050	0	0	0.0166355	0.006526433
1052	0	0	0.016126	0.006367648
1054	0	0	0.0156185	0.006234834
1056	0	0	0.015351233	0.006076748
1058	0	0	0.01508455	0.005840883
1060	0	0	0.01475975	0.005681924
1062	0	0	0.0144952	0.005504768
1064	0	0	0.014369567	0.005349757
1066	0	0	0.0142639	0.005252151
1068	0	0	0.0141195	0.005166235
1070	0	0	0.0140931	0.005050868
1072	0	0	0.014066833	0.005025405
1074	0	0	0.0140991	0.004996928
