Time,685nm PD1(V),685nm PD2(V),685nm PD3(V),785nm PD1(V),785nm PD2(V),785nm PD3(V),830nm PD1(V),830nm PD2(V),830nm PD3(V),850nm PD1(V),850nm PD2(V),850nm PD3(V),9150nm PD1(V),915nm PD2(V),915nm PD3(V),975nm PD1(V),975nm PD2(V),975nm PD3(V)
0.0,31.090978621514274,39.33889421869129,15.062821253678285,27.971508135826696,30.922490542743073,11.85707697299944,25.88930000375444,21.93979797748723,8.092676930052459,41.07174749074621,55.71451421041275,20.13771285110473,6.085272474543261,0.7221482166400013,0.1670746204914056,47.19927880191825,84.48095072505798,59.07654158938295
1.0,31.133237458143046,39.39084732780208,15.104589908801136,27.9676664234059,30.87573274454336,12.024151593490846,25.808624042917693,21.898235490198598,8.019581783587467,41.06022235348382,55.693732966768444,20.001964721955463,6.085272474543261,0.7792966366618719,0.2976016677503162,47.21464565160144,83.9770055666833,58.62230746492194
2.0,31.18702143203421,39.131081782248124,14.97928394343258,27.956141286143502,30.808193702699334,12.060699166723342,25.82783260502168,21.82550113744349,8.04568719303925,41.06022235348382,55.802834495901095,20.21080799756972,6.100639324226451,0.644218552973814,0.15663245671069276,47.12628626592309,84.09130240672705,58.533549072785874
3.0,31.152446020247034,39.28174579866942,15.135916400143275,27.95229957372271,30.87573274454336,11.998046184039064,25.850882879546464,21.70600898648867,7.956928800903191,41.0986394776918,55.73529545405708,20.142933932995085,6.062222200018476,0.7013669729956846,0.19840111183354414,47.17238681497266,84.24716173405942,58.57009664601838
4.0,31.17933800719262,39.32330828595805,14.937515288309731,27.998400122772274,30.90690461000984,11.992825102148707,25.88930000375444,21.773548028332698,7.925602309561053,41.08327262800861,55.78724856316787,20.028070131407244,6.073747337280868,0.7533200821064762,0.30804383153102904,47.15317825286868,85.08880210165424,58.97734103346617
5.0,31.233121981083784,39.14147240407028,15.261222365511829,28.05602580908424,30.87573274454336,11.877961300560866,25.839357742284076,21.66444649920004,7.810738507973212,41.11400632737499,55.80802980681218,20.080280950310808,6.092955899384855,0.6494138638848932,0.18273786616247487,47.210803939180636,84.28352891043697,57.61463866008315
6.0,31.260013968029366,39.28174579866942,15.141137482033633,28.05602580908424,30.78221714814394,12.01893051160049,25.84319945470487,21.789133961065936,8.071792602491032,41.12937317705817,55.78205325225679,20.16903934244687,6.081430762122463,0.7325388384621595,0.20362219372390056,47.206962226759835,84.12247427219353,58.38213769796554
7.0,31.229280268662983,39.51553478966798,14.874862305625452,28.048342384242645,31.13030297918624,12.029372675381202,25.747156644184933,21.690423053755435,8.009139619806756,41.18315715094934,55.932717268678076,20.25779773458293,6.089114186964059,0.6649997966181306,0.057431900793920666,47.245379350967816,84.14845082674893,58.46567500821125
8.0,31.25617225560857,39.458386369646114,15.1568007277047,28.105968070554606,31.05756862643113,11.98760402025835,25.847041167125667,21.913821422931836,7.977813128464617,41.11784803979579,55.90154540321161,20.17948150622758,6.092955899384855,0.7273435275510804,0.3602546504345933,47.21464565160144,84.49134134688013,59.217510800422566
9.0,31.22159684382139,39.57268320968985,14.994947189103653,28.029133822138657,31.067959248253292,11.898845628122292,25.831674317442477,21.90343080110968,8.129224503284952,41.090956052850196,55.87037353774513,19.944532821161545,6.081430762122463,0.748124771195397,0.25061193073710836,47.29916332485898,83.88868528119497,58.721508020838705
