,HbO2,HHb
1,57.98919465,53.4322493
2,57.77011752,54.4298897
3,57.64436761,54.00174802
4,56.49780814,55.32480464
5,57.81317633,54.68272217
6,58.43211534,54.75029557
7,57.47119644,54.2341647
8,58.18995795,54.49931241
9,57.9594612,52.30101238
10,56.67504965,54.52434901
11,57.01070532,54.88507346
12,57.01906309,54.04686174
13,57.95102506,53.49355785
14,55.31952125,58.98787755
15,57.35066637,57.75352854
16,57.88930824,58.57402894
17,57.47157187,58.24837421
18,57.01454267,59.35396963
19,58.75515718,66.34910359
20,55.19726728,67.42199051
21,53.34642291,69.12843672
22,50.27157948,74.60656082
23,47.99895779,76.63783201
24,44.42549019,78.27399595
25,40.38990847,74.8315841
26,42.50705729,73.65644733
27,47.44596351,78.91903741
28,44.88147991,77.45136023
29,40.32791456,78.88892884
30,42.34365654,78.7134524
31,45.22506547,77.48397217
32,47.81069377,76.25295591
33,44.91169124,75.73512341
34,40.73644162,73.97448646
35,42.00117812,70.64546749
36,43.2745894,76.15357452
37,46.94081977,78.12425747
38,45.97923737,74.36153955
39,44.66829327,75.60808285
40,50.50800476,64.88037875
41,51.84258393,63.98380769
42,52.87436248,62.52640667
43,55.29028305,59.80077221
44,55.72296372,54.34808566
45,59.70755698,54.16562752
46,60.15105475,51.27264231
47,67.67922438,54.14423661
48,65.04987164,53.79194467
49,64.78336644,52.75156452
50,68.26365651,53.34666861
51,67.56862403,54.79974047
52,60.65386699,55.0718821
53,59.71814893,53.80185709
54,59.40933159,54.7585443
55,58.06742862,51.64826352
56,58.35893971,54.53493918
57,59.62603107,56.83976177
58,62.05062191,58.01179155
59,60.66910983,54.05789348
60,55.80728884,56.00376687
