time,mua685nm,mua785nm,mua830nm,mua850nm,mua915nm,mua975nm,mus685nm,mus785nm,mus830nm,mus850nm,mus915nm,mus975nm,HbO2,HHb,Water,Fat
0.0,1.9959e-06,1.9959e-06,1.9959e-06,1.9959e-06,0.0015755492,1.9959e-06,0.30042666168000004,0.30042666168000004,0.30042666168000004,0.30042666168000004,0.8129530731399999,0.30042666168000004,1.832733784022891,-0.33160689902600954,-3.182192030206473,103.18219203020647
1.0,1.9959e-06,1.9959e-06,1.9959e-06,1.9959e-06,0.0022147086,1.9959e-06,0.30042666168000004,0.30042666168000004,0.30042666168000004,0.30042666168000004,0.64415581302,0.30042666168000004,2.574547820827395,-0.4674175382158135,-3.1905266876042364,103.19052668760425
2.0,1.9959e-06,1.9959e-06,1.9959e-06,1.9959e-06,0.00080054454,1.9959e-06,0.30042666168000004,0.30042666168000004,0.30042666168000004,0.30042666168000004,1.3869878315000002,0.30042666168000004,0.9332565403542503,-0.16693142331576144,-3.1542438703201023,103.1542438703201
3.0,1.9959e-06,1.9959e-06,1.9959e-06,1.9959e-06,0.0013933873,1.9959e-06,0.30042666168000004,0.30042666168000004,0.30042666168000004,0.30042666168000004,0.88862794522,0.30042666168000004,1.6213150762780335,-0.29290055429411765,-3.178416941027007,103.17841694102701
4.0,1.9959e-06,1.9959e-06,1.9959e-06,1.9959e-06,0.00192595284,1.9959e-06,0.30042666168000004,0.30042666168000004,0.30042666168000004,0.30042666168000004,0.7070879268000001,0.30042666168000004,2.239415339045616,-0.4060617882490014,-3.1874462045354908,103.18744620453548
5.0,1.9959e-06,1.9959e-06,1.9959e-06,1.9959e-06,0.0008584136800000001,1.9959e-06,0.30042666168000004,0.30042666168000004,0.30042666168000004,0.30042666168000004,1.30653543904,0.30042666168000004,1.0004199746240194,-0.17922764377776867,-3.1580732145387715,103.15807321453876
6.0,1.9959e-06,1.9959e-06,1.9959e-06,1.9959e-06,0.00169098206,1.9959e-06,0.30042666168000004,0.30042666168000004,0.30042666168000004,0.30042666168000004,0.7733203290799999,0.30042666168000004,1.9667061794167302,-0.35613444332889727,-3.18416335157813,103.18416335157812
7.0,1.9959e-06,1.9959e-06,1.9959e-06,1.9959e-06,0.00101406426,1.9959e-06,0.30042666168000004,0.30042666168000004,0.30042666168000004,0.30042666168000004,1.1378141475799999,0.30042666168000004,1.1810694105562176,-0.21230077821037455,-3.1662052853054496,103.16620528530545
8.0,1.9959e-06,1.9959e-06,1.9959e-06,1.9959e-06,0.0016155095600000001,1.9959e-06,0.30042666168000004,0.30042666168000004,0.30042666168000004,0.30042666168000004,0.79774205354,0.30042666168000004,1.879112130275424,-0.3400978044775365,-3.182906331218112,103.18290633121812
9.0,1.9959e-06,1.9959e-06,1.9959e-06,1.9959e-06,0.0018517885000000002,1.9959e-06,0.30042666168000004,0.30042666168000004,0.30042666168000004,0.30042666168000004,0.72540424828,0.30042666168000004,2.1533395519378282,-0.3903031114299013,-3.186499987686099,103.18649998768609
