time,mua685nm,mua785nm,mua830nm,mua850nm,mua915nm,mua975nm,mus685nm,mus785nm,mus830nm,mus850nm,mus915nm,mus975nm,HbO2,HHb,Water,Fat
0.032,0.00063653406,0.0007816540999999999,0.0009957832399999998,0.00115138414,0.014294211339999998,0.03364818646,2.9942761794,2.99745834402,2.9983423594799996,2.99809567854,2.99957081714,2.99871795978,65.34550129255746,-21.91717567641191,39.9535101778438,60.046489822156204
0.062,0.00063653406,0.00077853636,0.00099254152,0.0011539323799999997,0.014639829060000002,0.0371388342,2.9942761794,2.99567397912,2.99824870676,2.9983552948000005,2.99962293754,2.9968973754399997,70.6728548444879,-24.09089627741543,43.151639351707985,56.848360648292015
0.092,0.0006381876199999999,0.00077398954,0.0009939838200000001,0.00115559744,0.014642728839999999,0.032292101000000004,2.9943067285200002,2.9964622315200002,2.99791171676,2.9985357097399996,2.99969488596,2.99854413816,63.83361271133145,-21.17566252246952,37.354167270995916,62.645832729004084
0.122,0.00063653406,0.000771713,0.0009931201000000001,0.00115138414,0.014513755420000002,0.047821609800000005,2.9942761794,2.9979482184600004,2.99834383418,2.99809567854,2.9993746785,2.9968373184,85.6023785994137,-30.49010245731476,56.15900259217492,43.84099740782508
0.151,0.00063653406,0.00078115744,0.00099254152,0.0011467776200000002,0.014281592979999999,0.03779947408,2.9942761794,2.99741826196,2.99824870676,2.9974587934,2.99930715874,2.99829952248,71.18356807610769,-24.410116575557666,45.04935658192133,54.95064341807867
0.181,0.00063653406,0.0007766704800000001,0.0009897776,0.00115559744,0.014152685339999999,0.03616309942,2.9942761794,2.99579795994,2.9973422275800004,2.9985357097399996,2.99918369142,2.9990016547400002,68.72885631923441,-23.401375527914073,43.45848301882839,56.54151698117161
0.211,0.00063653406,0.00078115744,0.00098959408,0.0011489812800000003,0.01449610176,0.043152680219999996,2.9942761794,2.99741826196,2.9974702354200007,2.99748955912,2.99963921454,2.99836280704,78.98880352796968,-27.67482455563936,50.74128976495184,49.25871023504817
0.242,0.00063337708,0.00076321826,0.00099647922,0.0011500145400000002,0.014528551819999999,0.03500658032,2.9942289157,2.9969921848200003,2.9984727911,2.99777426376,2.99950185202,2.99840473236,67.53323610923613,-22.796753284192103,40.93059930545514,59.069400694544846
0.271,0.00063653406,0.00077398954,0.00098903166,0.0011539323799999999,0.014236167459999999,0.035574974860000004,2.9942761794,2.99646223152,2.9975308993,2.9983552947999996,2.99951277218,2.99821743838,67.99252271599833,-23.06615809121426,42.48229406630333,57.51770593369666
0.303,0.00063337708,0.0007777894400000001,0.0009873757200000001,0.0011484383399999998,0.0143109488,0.03717194406,2.9942289157,2.9958672226000003,2.99802908874,2.99721500164,2.99956520572,2.9985425658600002,70.33261378408801,-24.046517502985203,44.19741655882197,55.80258344117802
0.332,0.0006350584199999999,0.0007670178999999999,0.00099254152,0.0011539323799999997,0.01401369262,0.042046889399999995,2.9959939968800002,2.9984101295400003,2.99824870676,2.9983552948000005,2.99934423132,2.9975495675199997,76.87304069136766,-26.916362318168822,51.12806823831989,48.8719317616801
