Time,685nm PD1(V),685nm PD2(V),685nm PD3(V),785nm PD1(V),785nm PD2(V),785nm PD3(V),830nm PD1(V),830nm PD2(V),830nm PD3(V),850nm PD1(V),850nm PD2(V),850nm PD3(V),9150nm PD1(V),915nm PD2(V),915nm PD3(V),975nm PD1(V),975nm PD2(V),975nm PD3(V)
0.0,693.763793104845,1084.6039138712413,99.29786081216118,681.9728514457165,1010.9882636084875,83.01054801182048,519.3719624367685,417.4938142487677,26.666482722126446,832.5926223171632,1154.6657051557934,104.6129082666141,25.67382458036022,47.215554996111145,4.7219520303508755,451.7642243751533,138.0928060101315,7.573372338533773
1.0,684.3500574253795,1055.4961165259685,98.88725628778285,672.9394687229973,985.2650938615021,81.18563901458342,515.8536975868674,405.8168490346757,24.430969200511054,822.2280042458326,1140.7887320028144,101.19120389679462,23.86714803581635,46.87709223628239,5.8168974286931086,449.4821066346768,138.0928060101315,7.34525871387914
2.0,688.9142929063325,1048.2191671896503,96.97110184068393,675.7921158985928,965.1265596516912,79.99944816637932,522.1295213731776,409.87840215262077,22.606060203274,835.2550930143857,1141.465657522472,103.81451058032289,25.38855986280066,44.16939015765236,5.930954241020425,451.6691361359668,136.23126083107337,4.014799793921518
3.0,687.2977928401616,1045.5114651110202,92.9106793218315,675.3166747026602,974.6035169268964,75.0037597864429,519.5621389151416,410.72455905219266,24.04317603859818,834.6845635792665,1132.3271630070956,100.98590163460545,23.96223627500287,48.40017465551178,0.8668317736876004,451.2887831792207,137.92357463021716,1.4599271977896429
4.0,703.652969980243,1021.1421464033501,101.37369479651832,694.6195872575237,955.8188337564004,79.93101407898294,537.0583749254611,409.03224525304887,30.088187091945922,847.4263876302601,1092.8962514870457,102.60550836965334,26.24435401547933,50.43095121448431,2.8970430331138224,467.3586956017425,128.61584873492643,4.813197480212729
5.0,689.9602635373842,991.5266549183341,99.22942672476479,681.5924984889705,931.6187464286447,71.14863952977963,531.0678158567105,412.247641471422,30.430357528927868,837.3470342764891,1079.6962038537245,93.48096338346807,23.96223627500287,38.58475462047792,4.630706580489024,459.6565482276344,135.3851039315015,2.7145521333901175
6.0,685.9665574915504,974.4342855469819,87.73250004217135,678.5496748350018,903.018643223115,74.8897029741156,533.4450218363734,407.1707000739907,25.799650948438845,828.9792692280754,1058.7115127443417,93.25284975881344,24.24750099256243,36.046283921762274,0.9808885860149164,458.5154893573961,133.69279013235774,0.6159067865675055
7.0,675.3166747026602,953.788057197428,86.45506374410542,671.9885863311321,926.2033422713845,77.51300965764385,528.0249922027417,400.0629821175869,26.233066835282646,816.3325334162685,1030.2806409187262,89.53459767694295,23.201530361510713,39.43091152004981,2.0530226218916856,450.3379007873555,134.5389470319296,1.4371158353241795
8.0,674.9363217459141,979.1727641845846,87.45876369258579,669.421203873096,930.9418209089871,76.9883483209382,528.9758745946069,418.67843390816836,31.274377940150007,811.673209696129,1055.4961165259685,92.9106793218315,21.965383252085964,37.569366340991664,1.072134035876769,447.675430090133,130.3081625340702,2.4864385087354854
9.0,662.2895859341071,961.2342379136606,88.96431361530637,661.0534388246823,911.1417494590052,75.41436431082124,523.7460214393484,427.6476970436304,31.79903927685566,799.6920915586276,1025.8806250409525,93.54939747086446,20.82432438184773,38.077060480734794,4.8588202051436555,441.3996063038227,125.73891527638202,4.699140667885413
