Time,685nm PD1(V),685nm PD2(V),685nm PD3(V),785nm PD1(V),785nm PD2(V),785nm PD3(V),830nm PD1(V),830nm PD2(V),830nm PD3(V),850nm PD1(V),850nm PD2(V),850nm PD3(V),9150nm PD1(V),915nm PD2(V),915nm PD3(V),975nm PD1(V),975nm PD2(V),975nm PD3(V)
0.0,17.06812811279297,44.01105505371094,96.43496930694579,16.999944763183596,44.09456878051758,96.6087956085205,17.047673107910153,44.17468764038086,96.70833716583252,17.04164150390625,44.15839227905273,96.68456604766844,17.069963818359373,44.21610501708984,96.73359397888183,17.02485791015625,44.12376463623047,96.61028130340574
1.0,17.063932214355468,44.190304028320305,96.72616550445557,17.0563271484375,44.18147737426757,96.71576564025878,17.053966955566406,44.182156347656246,96.72913689422606,17.045312915039062,44.159750225830074,96.68456604766844,17.070750549316408,44.21882091064453,96.7410224533081,17.02354669189453,44.12036976928711,96.60582421874999
2.0,17.0647189453125,44.190304028320305,96.72765119934081,17.05842509765625,44.18147737426757,96.71576564025878,17.05422919921875,44.18351429443359,96.71873703002929,17.04452618408203,44.15771330566406,96.68753743743895,17.071275036621092,44.21338912353516,96.7469652328491,17.024595666503906,44.123085662841795,96.611766998291
3.0,17.063145483398436,44.190983001708986,96.73062258911132,17.057900610351563,44.17944045410156,96.71130855560303,17.05370471191406,44.182156347656246,96.72022272491454,17.044001696777343,44.159750225830074,96.69348021697998,17.07153728027344,44.217462963867185,96.7410224533081,17.02354669189453,44.124443609619135,96.61770977783202
4.0,17.0647189453125,44.192340948486326,96.72913689422606,17.058162854003903,44.182156347656246,96.70833716583252,17.051869006347655,44.182156347656246,96.72022272491454,17.044001696777343,44.15703433227539,96.6860517425537,17.069701574707032,44.21678399047851,96.75290801239014,17.0227599609375,44.11697490234375,96.60730991363525
5.0,17.06550567626953,44.193019921875,96.7246798095703,17.056851635742188,44.18011942749023,96.71130855560303,17.05370471191406,44.18690916137695,96.73062258911132,17.044001696777343,44.15771330566406,96.68753743743895,17.07048830566406,44.2147470703125,96.7439938430786,17.0227599609375,44.119690795898435,96.611766998291
6.0,17.065243432617187,44.19166197509765,96.71725133514403,17.05763836669922,44.17808250732422,96.70685147094726,17.053966955566406,44.18623018798828,96.72765119934081,17.042690478515624,44.15907125244141,96.68753743743895,17.069701574707032,44.22153680419922,96.73656536865234,17.0227599609375,44.121048742675775,96.60582421874999
7.0,17.063669970703124,44.192340948486326,96.72913689422606,17.05894958496094,44.17944045410156,96.70982286071776,17.05501593017578,44.18487224121093,96.72765119934081,17.044788427734375,44.16178714599609,96.68159465789795,17.07153728027344,44.21338912353516,96.73656536865234,17.02354669189453,44.124443609619135,96.61325269317626
8.0,17.06340772705078,44.192340948486326,96.7217084197998,17.059211828613282,44.182156347656246,96.71725133514403,17.054753686523437,44.185551214599606,96.72319411468506,17.044263940429687,44.15839227905273,96.69199452209472,17.071012792968748,44.21678399047851,96.74250814819335,17.021710986328124,44.12172771606445,96.6087956085205
9.0,17.063145483398436,44.19166197509765,96.7246798095703,17.056851635742188,44.18011942749023,96.70833716583252,17.053442468261718,44.185551214599606,96.7246798095703,17.044001696777343,44.159750225830074,96.69496591186522,17.071275036621092,44.21542604370117,96.7439938430786,17.023808935546874,44.12240668945312,96.61770977783202
